Radius,Area,Volume,Weight,Class
980.666,1.21E+07,3.95E+09,0.577809,B
1013,1.29E+07,4.35E+09,0.573064,C
1066.39,1.43E+07,5.08E+09,0.612681,A
982.654,1.21E+07,3.97E+09,0.617506,A
1043.15,1.37E+07,4.75E+09,0.598026,C
1059.42,1.41E+07,4.98E+09,0.555725,C
1036.19,1.35E+07,4.66E+09,0.558883,B
955.764,1.15E+07,3.66E+09,0.586667,C
973.281,1.19E+07,3.86E+09,0.596032,B
1031.63,1.34E+07,4.60E+09,0.577748,A
628.947,4.97E+06,1.04E+09,0.561395,A
1089.13,1.49E+07,5.41E+09,0.625876,B
1051.73,1.39E+07,4.87E+09,0.588376,B
1121.25,1.58E+07,5.90E+09,0.549523,B
1121.25,1.58E+07,5.90E+09,0.549523,B
991.965,1.24E+07,4.09E+09,0.593021,B
1072.3,1.44E+07,5.16E+09,0.618272,A
1154.66,1.68E+07,6.45E+09,0.556368,A
258.818,841783,7.26E+07,0.542691,A
